City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,severo-yeniseyskiy,60.3725,93.0408,0.76,94,100,1.78,RU,1682351388
209,port sudan,19.6175,37.2164,30.48,57,89,3.61,SD,1682351388
210,sault ste. marie,46.5168,-84.3333,2.31,100,100,4.12,CA,1682351108
211,holualoa,19.6228,-155.9522,19.91,77,0,3.09,US,1682351388
212,broken hill,-31.95,141.4333,18.46,52,0,4.74,AU,1682351388
213,puerto deseado,-47.7503,-65.8938,19.23,32,0,10.2,AR,1682351388
214,changzhi,35.2089,111.7386,6.35,95,100,1.11,CN,1682351388
215,cidreira,-30.1811,-50.2056,23.36,72,34,7.12,BR,1682351389
216,illapel,-31.6308,-71.1653,24.76,38,20,2.82,CL,1682351389
217,macheng,31.1783,115.0319,10.25,91,100,1.59,CN,1682351389
218,santiago del torno,-17.9833,-63.3833,27.42,62,90,2.09,BO,1682351389
219,san patricio,28.017,-97.5169,18.92,82,100,5.13,US,1682351389
220,lubango,-14.9172,13.4925,21.47,77,79,1.64,AO,1682351389
221,cidade velha,14.9167,-23.6167,28.26,51,20,9.26,CV,1682351389
222,tobruk,32.0836,23.9764,18.86,70,2,9.38,LY,1682351389
223,punta del este,-34.9667,-54.95,24.42,83,40,3.58,UY,1682351389
224,naryn,41.4287,75.9911,13.35,31,100,2.55,KG,1682351389
225,tura,25.5198,90.2201,23.39,47,7,1.71,IN,1682351390
226,yabelo,4.8833,38.0833,17.68,76,88,4.36,ET,1682351390
227,oliver,49.1831,-119.5524,8.95,76,78,0.51,CA,1682351390
228,el bosque,17.0667,-92.7333,25.59,34,45,1.11,MX,1682351390
229,turochak,52.2576,87.1224,4.79,97,99,1.35,RU,1682351390
230,namibe,-15.1961,12.1522,25.35,69,65,6.15,AO,1682351390
231,limon,10.0,-83.0333,30.59,70,20,3.6,CR,1682351272
232,lensk,60.7253,114.9278,-5.64,97,34,1.46,RU,1682351391
233,martil,35.6166,-5.2752,23.98,60,0,3.6,MA,1682351391
234,abu road,24.4833,72.7833,28.7,15,100,1.89,IN,1682351155
235,obihiro,42.9172,143.2044,2.93,55,1,3.25,JP,1682351391
236,podporozh'ye,60.9112,34.1706,14.55,58,38,3.44,RU,1682351391
237,nacala,-14.5428,40.6728,27.62,74,20,4.12,MZ,1682351391
238,phetchaburi,12.9667,99.5833,25.86,70,82,1.46,TH,1682351391
239,tazovsky,67.4667,78.7,-0.87,97,100,4.98,RU,1682351324
240,san rafael,-34.6177,-68.3301,22.1,35,0,2.95,AR,1682351392
241,sylacauga,33.1732,-86.2516,15.66,41,40,3.6,US,1682351162
242,georgetown,5.4112,100.3354,26.96,89,40,2.06,MY,1682351100
243,nizhneangarsk,55.7833,109.55,-8.24,83,100,1.22,RU,1682351392
244,buala,-8.145,159.5921,26.35,84,100,1.23,SB,1682351392
245,dunhua,43.3725,128.2425,4.04,31,99,2.99,CN,1682351392
246,filey,54.21,-0.2892,7.82,78,100,0.45,GB,1682351392
247,santa ana,33.7456,-117.8678,16.4,84,100,2.06,US,1682351109
248,balcarce,-37.8462,-58.2552,20.22,46,0,3.27,AR,1682351392
249,nadym,65.5333,72.5167,-3.7,89,100,12.69,RU,1682351392
250,douentza,14.9951,-2.9517,39.88,8,1,4.43,ML,1682351393
251,louga,58.7372,29.8453,18.49,41,10,3.5,RU,1682351393
252,hammerfest,70.6634,23.6821,-0.75,80,40,2.06,NO,1682351393
253,yuzhno-kurilsk,44.0306,145.8556,3.31,74,36,5.96,RU,1682351393
254,bush,29.1482,31.1273,29.5,17,0,4.3,EG,1682351393
255,kankaanpaa,61.8,22.4167,1.42,71,99,0.92,FI,1682351393
256,mirny,62.5353,113.9611,-14.42,98,21,0.53,RU,1682351393
257,al jawf,29.5,38.75,26.39,26,22,4.12,SA,1682351393
258,eaton,42.6,-84.85,6.06,48,77,3.73,US,1682351394
259,usman',52.0466,39.7288,14.02,72,82,2.55,RU,1682351394
